seq_id,print_id,tile_id,p_1,dp_1,p_2,dp_2,p_3,dp_3,p_4,dp_4,p_5,dp_5
0,SI266220200309225433,0,NA,0,NA,0,NA,0,NA,0,NA,0
1,SI266220200309225433,1,NA,0,NA,0,NA,0,NA,0,NA,0
2,SI266220200309225433,2,NA,0,NA,0,NA,0,NA,0,NA,0
3,SI266220200309225433,3,NA,0,NA,0,NA,0,NA,0,NA,0
4,SI266220200309225433,4,NA,0,NA,0,NA,0,NA,0,NA,0
5,SI266220200309225433,5,NA,0,NA,0,NA,0,NA,0,NA,0
6,SI266220200309225433,6,NA,0,NA,0,NA,0,NA,0,NA,0
7,SI266220200309225433,7,NA,0,NA,0,NA,0,NA,0,NA,0
8,SI266220200309225433,8,NA,0,NA,0,NA,0,NA,0,NA,0
9,SI266220200309225433,9,NA,0,NA,0,NA,0,NA,0,NA,0
10,SI266220200309225433,10,NA,0,NA,0,NA,0,NA,0,NA,0
11,SI266220200309225433,11,NA,0,NA,0,NA,0,NA,0,NA,0
12,SI266220200309225433,12,NA,0,NA,0,NA,0,NA,0,NA,0
13,SI266220200309225433,13,NA,0,NA,0,NA,0,NA,0,NA,0
14,SI266220200309225433,14,NA,0,NA,0,NA,0,NA,0,NA,0
15,SI266220200309225433,15,NA,0,NA,0,NA,0,NA,0,NA,0
16,SI266220200309225433,0,NA,0,NA,0,NA,0,NA,0,NA,0
17,SI266220200309225433,1,NA,0,NA,0,NA,0,NA,0,NA,0
18,SI266220200309225433,2,NA,0,NA,0,NA,0,NA,0,NA,0
19,SI266220200309225433,3,NA,0,NA,0,NA,0,NA,0,NA,0
20,SI266220200309225433,4,NA,0,NA,0,NA,0,NA,0,NA,0
21,SI266220200309225433,5,NA,0,NA,0,NA,0,NA,0,NA,0
22,SI266220200309225433,6,NA,0,NA,0,NA,0,NA,0,NA,0
23,SI266220200309225433,7,NA,0,NA,0,NA,0,NA,0,NA,0
24,SI266220200309225433,8,NA,0,NA,0,NA,0,NA,0,NA,0
25,SI266220200309225433,9,NA,0,NA,0,NA,0,NA,0,NA,0
26,SI266220200309225433,10,NA,0,NA,0,NA,0,NA,0,NA,0
27,SI266220200309225433,11,NA,0,NA,0,NA,0,NA,0,NA,0
28,SI266220200309225433,12,NA,0,NA,0,NA,0,NA,0,NA,0
29,SI266220200309225433,13,NA,0,NA,0,NA,0,NA,0,NA,0
30,SI266220200309225433,14,NA,0,NA,0,NA,0,NA,0,NA,0
31,SI266220200309225433,15,NA,0,NA,0,NA,0,NA,0,NA,0
32,SI266220200309225433,0,"(498,297)",1697.5798245614033,"(492,358)",1619.28947368421,"(498,298)",1575.2614035087718,"(493,358)",1545.6280701754386,"(367,346)",1545.166666666666
33,SI266220200309225433,1,"(464,86)",5111.375438596489,"(464,87)",5097.982456140351,"(465,87)",5065.725438596492,"(368,73)",5050.456140350878,"(360,66)",5020.848245614037
34,SI266220200309225433,2,"(490,180)",5947.763157894737,"(490,181)",5853.566666666666,"(470,202)",5818.994736842105,"(491,180)",5806.307017543859,"(473,199)",5797.585964912279
35,SI266220200309225433,3,"(498,94)",11481.089473684217,"(498,93)",11025.22631578947,"(498,95)",9803.443859649116,"(383,168)",9428.14122807017,"(499,94)",9403.114035087721
36,SI266220200309225433,4,"(272,346)",7343.6078947368405,"(271,345)",7310.9824561403475,"(425,369)",7290.722807017544,"(272,345)",7273.504385964916,"(425,368)",7248.720175438593
37,SI266220200309225433,5,"(270,292)",5511.375438596489,"(17,93)",5401.264912280705,"(24,93)",5393.731578947369,"(269,292)",5393.472807017544,"(24,92)",5369.511403508772
38,SI266220200309225433,6,"(1,252)",6453.087719298248,"(1,251)",5711.357894736844,"(1,253)",5637.768421052631,"(184,406)",5080.30087719298,"(0,252)",5008.600877192985
39,SI266220200309225433,7,"(1,94)",11652.405263157896,"(1,95)",11170.85263157895,"(1,93)",10661.021929824557,"(1,96)",10463.979824561407,"(1,97)",9850.07894736842
40,SI266220200309225433,8,"(468,326)",6157.220175438597,"(492,318)",5937.859649122805,"(492,351)",5796.318421052632,"(467,326)",5764.956140350876,"(468,325)",5718.801754385964
41,SI266220200309225433,9,"(169,498)",11962.290350877192,"(170,498)",11384.923684210527,"(168,498)",10852.991228070172,"(167,498)",9209.762280701754,"(169,497)",9206.59912280702
42,SI266220200309225433,10,"(169,1)",11429.223684210527,"(170,1)",11294.868421052633,"(168,1)",10217.433333333334,"(161,1)",9596.00614035088,"(160,1)",9538.257894736838
43,SI266220200309225433,11,"(492,148)",2709.7210526315785,"(492,114)",2672.4061403508776,"(491,114)",2662.7614035087718,"(76,139)",2653.3561403508784,"(468,122)",2646.5087719298235
44,SI266220200309225433,12,"(40,367)",5706.7807017543855,"(16,359)",5692.671929824561,"(40,302)",5686.850877192983,"(16,310)",5635.483333333334,"(40,301)",5591.730701754386
45,SI266220200309225433,13,"(1,498)",5428.86842105263,"(0,498)",4394.260526315789,"(1,499)",4341.6675438596485,"(2,498)",3852.666666666668,"(40,299)",3852.564912280701
46,SI266220200309225433,14,"(1,1)",5713.016666666666,"(16,390)",5194.537719298245,"(15,390)",4979.170175438596,"(53,444)",4931.367543859651,"(40,382)",4925.169298245613
47,SI266220200309225433,15,"(40,164)",2786.420175438596,"(40,163)",2662.690350877194,"(39,163)",2640.355263157895,"(15,155)",2530.756140350878,"(16,156)",2496.990350877193
48,SI266220200309225433,0,"(498,298)",2110.7850877192986,"(498,299)",2047.7912280701748,"(498,355)",2011.9035087719303,"(498,356)",1969.4570175438603,"(383,320)",1902.9236842105274
