seq_id,print_id,tile_id,saturated,centroids
0,SI266220200309225433,0,0,[]
1,SI266220200309225433,1,0,[]
2,SI266220200309225433,2,0,[]
3,SI266220200309225433,3,5639,[]
4,SI266220200309225433,4,668,[]
5,SI266220200309225433,5,0,[]
6,SI266220200309225433,6,0,[]
7,SI266220200309225433,7,4555,[]
8,SI266220200309225433,8,0,[]
9,SI266220200309225433,9,1712,[]
10,SI266220200309225433,10,787,[]
11,SI266220200309225433,11,0,[]
12,SI266220200309225433,12,5,[]
13,SI266220200309225433,13,0,[]
14,SI266220200309225433,14,0,[]
15,SI266220200309225433,15,0,[]
16,SI266220200309225433,0,0,[]
17,SI266220200309225433,1,0,[]
18,SI266220200309225433,2,0,[]
19,SI266220200309225433,3,348,[]
20,SI266220200309225433,4,0,[]
21,SI266220200309225433,5,0,[]
22,SI266220200309225433,6,0,[]
23,SI266220200309225433,7,298,[]
24,SI266220200309225433,8,0,[]
25,SI266220200309225433,9,0,[]
26,SI266220200309225433,10,0,[]
27,SI266220200309225433,11,0,[]
28,SI266220200309225433,12,0,[]
29,SI266220200309225433,13,0,[]
30,SI266220200309225433,14,0,[]
31,SI266220200309225433,15,0,[]
32,SI266220200309225433,0,0,[]
33,SI266220200309225433,1,0,[]
34,SI266220200309225433,2,0,[]
35,SI266220200309225433,3,1253,"[{""x"":498.264367816092,""y"":129.2528735632184,""count"":87},{""x"":363.0625,""y"":97.5,""count"":16},{""x"":446.4,""y"":98.8,""count"":10},{""x"":315.3333333333333,""y"":113.11111111111111,""count"":9},{""x"":287.875,""y"":127.3125,""count"":32},{""x"":383.42105263157896,""y"":158.0701754385965,""count"":57},{""x"":446.05263157894734,""y"":153.05263157894737,""count"":19},{""x"":336.7142857142857,""y"":155.42857142857142,""count"":7},{""x"":456.5263157894737,""y"":184.26315789473685,""count"":19}]"
